,Unnamed: 0,Npoints,lapse1,lapse2,deckchoice,RT1,RT2,choice_onset,press1_onset,info_onset,partner_onset,press2_onset,aff_onset,fix1_list,fix2_list,fix3_list,fix4_list,soc_win,block,duration,frequency,stimaff,stiminf,point_total,word,rating,is_catch,partner,highval_count
40,0,36,0,0,1,0.5784543000090707,1.1327319648889898,4.7826666339979065,5.365603221893252,8.76553907950165,12.265394082589864,13.39815310869335,17.282516517397195,1.75,1.75,1.75,3.25,1,3,250,55,1,0,2300,nervous,0.0,0,0,61
41,1,37,0,0,2,0.5745918602060556,1.580714642786461,22.78215064246615,23.35678126603307,26.765046492263078,31.264802392796355,32.845543731104954,37.281697001434615,1.75,2.75,2.75,1.75,0,3,250,55,1,0,2300,excited,0.0,0,1,61
42,2,37,0,0,1,0.6763164275098461,1.0098060332611567,41.28184218119213,41.96450373207063,48.264291155261624,52.76412494820897,53.77395804268417,60.78102723638085,4.75,2.75,4.75,1.75,0,3,250,55,1,0,2300,excited,0.0,0,0,62
43,3,0,0,1,0,0.0,0.0,0.0,0.0,0.0,64.01385205049019,0.0,0.0,4.75,1.75,1.75,1.75,0,3,250,55,1,0,2300,jittery,0.0,2,0,62
44,4,40,0,0,2,1.6078500925750632,1.4912641646260454,73.03054150586877,74.64670158538456,78.0133269166563,82.51329820982755,84.00458906997528,88.53016758571175,2.75,2.75,2.75,1.75,0,3,250,55,1,0,2300,interested,0.0,0,0,63
45,5,37,0,0,1,0.8690281111162221,1.390070947921231,92.529902093258,93.39896823635128,97.51269737773146,101.0127535114666,102.40285444613892,106.02954536062909,2.75,1.75,1.75,1.75,0,3,250,55,1,0,2300,nervous,0.0,0,1,63
46,6,42,0,0,2,1.1403244639595869,1.1944644457698814,110.02928645063277,111.16964931226084,114.01229529928423,117.51216200451927,118.70665314581129,125.52898164628004,1.75,1.75,4.75,1.75,0,3,250,55,1,0,2300,excited,0.0,0,0,64
47,7,42,0,0,1,1.3314720825173936,0.0,129.52864959786666,130.87819125769192,134.51159408471085,0.0,0.0,0.0,2.75,1.75,1.75,1.75,0,3,250,55,1,0,2300,enthusiastic,-2.6499999999999986,1,0,64
48,8,47,0,0,2,1.767243204618353,1.7976292913508587,145.278255838914,147.0455374412013,149.26114620332962,155.76079861300286,157.55845423418396,160.77773417915478,1.75,4.75,1.75,3.25,1,3,250,55,1,0,2347,strong,0.0,0,0,65
49,9,47,0,0,2,0.16952351418376566,1.1442040912897935,166.27753981381147,166.46049922089287,170.27728163519942,174.76068890537724,175.9049189608054,179.77725329406258,1.75,2.75,1.75,3.25,0,3,250,55,1,0,2347,guilty,0.0,0,0,66
50,10,42,0,0,1,0.8081191688111176,1.1822020587733275,185.2936127123344,186.1099467881445,190.2763864209751,193.77623776714245,194.95846579005362,199.7928515242593,2.75,1.75,2.75,2.5,1,3,250,55,1,0,2389,irritable,0.0,0,1,66
51,11,39,0,0,1,1.1150785451745833,0.9981503294338836,204.54300447497369,205.67594671281222,209.52580817036548,216.0256759726767,217.023853729017,222.0424769641413,2.75,4.75,2.75,1.75,1,3,250,55,1,0,2428,irritable,0.0,0,1,66
52,12,38,0,0,1,0.7453356888781855,1.0906016768444715,226.04221732276073,226.78759104361552,230.0252294626412,236.5249977967051,237.61562580337974,242.54184267121946,1.75,4.75,2.75,1.75,1,3,250,55,1,0,2466,proud,0.0,0,1,66
53,13,0,0,1,0,0.19247252098284665,0.0,246.54165177995128,246.7412128763108,250.52443207104943,254.02428597706145,0.0,0.0,1.75,1.75,2.75,1.75,1,3,250,55,1,0,2466,upset,0.0,0,0,66
54,14,40,0,0,1,0.8667692311069004,1.3998202989096171,264.0410803860682,264.9078876491521,271.02380289781695,275.5236268170784,276.9234730801254,281.5405645773822,4.75,2.75,2.75,3.25,0,3,250,55,1,0,2466,inspired,0.0,0,0,66
55,15,41,0,0,1,0.3556439636486175,1.311915235500237,287.04036984634695,287.40653001728606,291.0232272984754,297.52296857132524,298.83491013665525,302.5400910061321,1.75,4.75,1.75,1.75,1,3,250,55,1,0,2507,jittery,0.0,0,0,66
56,16,41,0,0,1,0.6747732069111407,1.1099588559832227,306.53976334602385,307.21457458491204,311.52263469445137,318.0223042916523,319.13228874608194,324.03937589526004,2.75,4.75,2.75,1.75,0,3,250,55,1,0,2507,upset,0.0,0,1,66
57,17,49,0,0,2,0.7900905490173499,0.0,328.03890634662275,328.8290349276167,332.0218596100772,0.0,0.0,0.0,1.75,1.75,1.75,1.75,0,3,250,55,1,0,2507,afraid,-5.4999999999999885,1,0,67
58,18,46,0,0,1,0.0008407261034335535,0.7513407186070253,342.7884606593939,342.80458841172964,349.77139051855517,353.2711749430709,354.0225430885839,361.2883427236966,4.75,1.75,4.75,2.5,0,3,250,55,1,0,2507,determined,0.0,0,1,67
